TicketDate,Hr,TicketCount
2015-04-27,11,197
2015-10-01,11,161
2015-10-07,13,444
2014-06-13,14,468
2015-09-24,14,433
2014-08-02,11,214
2015-08-18,10,92
2014-11-08,21,221
2014-02-26,11,152
2015-04-20,14,301
2014-02-20,18,316
2014-03-05,14,323
2015-02-09,18,291
2014-04-24,11,177
2013-12-19,22,115
2015-02-16,21,123
2015-06-16,14,358
2014-09-28,11,273
2014-09-12,21,230
2014-11-01,18,384
2015-04-07,18,373
2015-06-09,11,128
2014-01-08,12,210
2014-04-10,23,6
2013-12-11,21,105
2014-12-27,20,266
2015-06-02,20,213
2013-12-18,18,371
2014-01-01,15,416
2015-04-27,14,375
2015-05-26,23,6
2014-04-17,20,335
2015-03-01,17,289
2014-12-20,23,3
2015-09-10,20,244
2015-02-16,15,343
2014-04-18,12,338
2015-04-06,20,272
2014-02-13,18,267
2015-02-15,23,2
2015-05-11,8,2
2014-02-27,15,290
2015-07-22,23,10
2015-06-09,17,378
2014-01-15,9,6
2014-02-19,20,194
2014-11-08,15,557
2014-02-26,17,273
2015-08-12,11,196
2015-04-20,20,229
2014-04-04,21,163
2015-04-14,15,313
2015-03-08,11,146
2015-04-13,23,2
2015-04-13,17,361
2014-11-15,12,393
2015-04-21,12,454
2014-04-25,9,4
2014-12-14,21,139
2015-09-17,17,362
2015-08-19,8,2
2015-02-22,20,135
2014-02-06,21,135
2015-06-10,15,347
2014-06-06,17,399
2015-05-04,11,215
2015-01-04,15,455
2013-12-31,17,397
2015-07-29,20,289
2015-02-23,12,236
2014-02-27,9,3
2015-07-22,17,390
2014-12-06,9,2
2014-09-14,17,425
2015-11-18,12,293
2015-07-21,22,146
2014-04-10,17,367
2014-07-05,23,4
2015-09-30,16,361
2015-03-02,15,312
2015-11-11,15,376
2015-05-26,17,349
2015-03-09,12,349
2014-07-12,20,362
2015-09-23,19,310
2015-08-04,16,349
2014-11-22,15,534
2014-07-19,17,402
2014-03-27,23,7
2015-09-16,22,157
2015-03-16,9,3
2014-02-12,17,294
2015-06-17,12,418
2015-11-25,9,100
2014-05-16,20,308
2015-01-11,12,274
2014-08-01,10,100
2014-05-23,17,404
2015-11-12,16,287
2014-05-23,23,15
2015-06-08,16,391
